index,type,smiles
146,CARBONYL,O=C/C=C/OCc1ccccc1
147,YLIDE,CCOC=P(c1ccccc1)(c1ccccc1)c1ccccc1
148,CARBONYL,Cc1cc(Br)cc2c(C=O)c[nH]c12
149,CARBONYL,CC(C)CCCC(=O)/C=C/CCCC=O
150,YLIDE,O=C(C=P(c1ccccc1)(c1ccccc1)c1ccccc1)Oc1ccc(F)cc1
151,CARBONYL,C[C@H]1OC(C)(C)O[C@@]1(C)C=O
152,CARBONYL,CC(C)=CC=O
153,CARBONYL,CCOc1ccc(Cc2cc([C@@H]3O[C@@H]4CO[C@@H](c5ccccc5)O[C@H]4C(=O)[C@H]3OCOC)ccc2Cl)cc1
154,YLIDE,CC(C)COC(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1
155,CARBONYL,COc1cccc(C(=O)c2cc(Cl)ccc2-c2ccccc2C=O)c1OC
156,CARBONYL,C[C@@H](Cl)C[C@@H]1O[C@H]1C=O
157,YLIDE,Clc1nc2ccccc2cc1C=P(c1ccccc1)(c1ccccc1)c1ccccc1
158,CARBONYL,CCCn1ccnc1C=O
159,YLIDE,CC(C)CNC(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1
160,YLIDE,O=[N+]([O-])c1ccc(C=Cc2ccc(C=P(c3ccccc3)(c3ccccc3)c3ccccc3)cc2)c([N+](=O)[O-])c1
161,CARBONYL,Cc1cc(C=O)nn1-c1ccc(Cl)c(Cl)c1
162,CARBONYL,C/C(=C\CO)CCCC=O
163,YLIDE,O=[N+]([O-])c1ccc(C=P(c2ccccc2)(c2ccccc2)c2ccccc2)c([N+](=O)[O-])c1
164,CARBONYL,C[Si](C)(C)C#CCCCCC=O
165,CARBONYL,O=C(COC1CCCCO1)c1cccc(Cl)c1
166,CARBONYL,CC(=O)N[C@H](C=O)CC(C)C
167,CARBONYL,Cc1oc(C=O)cc1N1CCCCC1
168,CARBONYL,COC(COc1ccc(C=O)cc1)OC
169,CARBONYL,COc1ccc(-c2cc(C=O)on2)cc1OC
170,CARBONYL,O=C/C=C/Cc1ccc2c(c1)OCO2
171,CARBONYL,CCCCCCCCN1c2ccccc2Sc2cc(/C=C/c3ccc4c(c3)Sc3cc(C=O)ccc3N4CCCCCCCC)ccc21
172,CARBONYL,CN(C)c1ccncc1C=O
173,CARBONYL,COC(=O)c1ccc(C=O)cc1
174,CARBONYL,COc1ccc(C(CC(=O)O)CC(=O)c2ccccc2)cc1
175,CARBONYL,O=Cc1cc(Br)ccc1F
176,CARBONYL,CC1=C(C=O)C(C)(C)CCC1
177,CARBONYL,CC(C)(C)[Si](OCCCCC(=O)CCC=O)(c1ccccc1)c1ccccc1
178,CARBONYL,C=C(C)CC(C(=O)OC(C)(C)C)c1c(C=O)cc2c(OC)ccc(OC)c2c1OC
179,CARBONYL,CC(=O)O/N=C(\Cc1ccccc1)[C@H](O)[C@@H](C=O)Cc1ccccc1
180,CARBONYL,O=Cc1cc2ccccc2oc1=O
181,CARBONYL,CC(C)(C)c1ccc(N2CCC3(CCC(=O)CC3)C2=O)cc1
182,CARBONYL,O=C1CCCC1Oc1ccc(Cl)cc1Br
183,CARBONYL,O=Cc1ccccc1OC12CC3CC(CC(C3)C1)C2
184,CARBONYL,COc1cccc(CCC=O)c1O[Si](C)(C)C(C)(C)C
185,CARBONYL,O=C[C@H]1CCc2ccccc2O1
186,CARBONYL,COc1cccc(C2OCCCO2)c1Oc1cccc(C=O)c1
187,CARBONYL,O=C1CCCCC1O
188,CARBONYL,C/C=C1/CN2[C@H]3Cc4c([nH]c5ccc(OC)cc45)[C@@H]2C[C@@H]1C3=O
189,YLIDE,COC(=O)C(C)=CC=CC(C)=CC=P(c1ccccc1)(c1ccccc1)c1ccccc1
190,CARBONYL,CCCC/C=C/CCCC=O
191,YLIDE,C[C@H](CC=P(c1ccccc1)(c1ccccc1)c1ccccc1)C[C@@H](C)CCO
192,CARBONYL,CN1C(=O)[C@]2(C(C=O)=CO[C@]23C(=O)N(C)c2ccc(Cl)cc23)c2ccccc21
193,CARBONYL,COc1ccc(COCC(=O)[C@@H](O[C@@H]2O[C@H](COCc3ccc(OC)cc3)[C@@H](OCc3ccc(OC)cc3)[C@H](OCc3ccc(OC)cc3)[C@H]2OCc2ccc(OC)cc2)[C@H](OCc2ccc(OC)cc2)[C@H](CO[Si](C)(C)C(C)(C)C)OCc2ccc(OC)cc2)cc1
194,YLIDE,O=C(CCCCCCCCCC=P(c1ccccc1)(c1ccccc1)c1ccccc1)OCc1ccccc1
195,CARBONYL,C=CCCCC1COCCC1=O
196,CARBONYL,CCCCCCC1(C[C@H](O[Si](C)(C)C(C)(C)C)[C@@H]2CCCCC2=O)SCCCS1
197,CARBONYL,CC(C)(C)[Si](C)(C)OCCC[C@@H]1O[C@@]1(C)CCC=O
198,CARBONYL,O=CCCCCOC1CCCCO1
199,CARBONYL,CC(C)OC(=O)C=O
200,CARBONYL,COCOc1cc(CCc2ccc(-c3ccc(OC)cc3C=O)c(OC)c2)ccc1OC
201,CARBONYL,CC1=C[C@H](CC=O)[C@H](c2onc(C)c2[N+](=O)[O-])[C@@H](c2ccc(Cl)cc2Cl)C1
202,CARBONYL,C=C(Cl)C=O
203,CARBONYL,O=CC[C@@H](C/C=C/C(=O)c1ccccc1Cl)c1ccccc1
204,CARBONYL,COCCOCO[C@H](C=O)[C@H](O[Si](C)(C)C(C)(C)C)c1ccccc1
205,CARBONYL,C/C(C=O)=C\CO[Si](C)(C)C(C)(C)C
206,YLIDE,Clc1ccc(C=P(c2ccccc2)(c2ccccc2)c2ccccc2)c(Br)c1
207,CARBONYL,CC(CC=O)c1ccccc1
208,CARBONYL,CC(=O)c1ccc(C)c(Br)c1
209,CARBONYL,CCCC[C@@H]1[C@@H]([N+](=O)[O-])[C@H](CC(=O)c2ccccc2)CC[C@H]1C=O
210,CARBONYL,O=Cc1ccccc1Oc1ccc(F)cc1
211,CARBONYL,CC(C)(C)OC(=O)C[C@H]1C[C@@H](C=O)OB(CCc2ccccc2)O1
212,CARBONYL,CCCCC[C@@H](OCc1ccc(OC)cc1)[C@H](CCC=O)OCc1ccccc1
213,CARBONYL,CC(=O)c1ccc(Cl)cc1
214,CARBONYL,COc1cccc(C(=O)C(F)(F)F)c1
215,CARBONYL,COC(=O)C(=O)c1cc2ccccc2n1C(=O)OC(C)(C)C
216,CARBONYL,COC(=O)CCC[C@@H](/C=C/C=C\C/C=C\CC=O)O[Si](c1ccccc1)(c1ccccc1)C(C)(C)C
217,CARBONYL,O=C(c1ccccc1)c1ccc(CCCOc2cccnc2-c2ccccc2)cc1
218,CARBONYL,O=Cc1ccccc1Sc1ccc2ccc3cccc4ccc1c2c34
219,CARBONYL,CC(C)(C)OC(=O)N1C(=O)[C@]2(c3ccccc31)[C@H](CC=O)c1ccccc1O[C@H]2c1ccccc1
220,CARBONYL,O=C/C=C/c1cnc2ccccc2c1
221,CARBONYL,CC(C)[Si](C#C/C=C\[C@@H]1[C@@H]2CCC[C@]13CCC[C@@H](CC=O)N3O2)(C(C)C)C(C)C
222,CARBONYL,CCCCC=O
223,YLIDE,CC(=CC=P(c1ccccc1)(c1ccccc1)c1ccccc1)C1OCC(C)(C)CO1
224,PHOSPHINE,Fc1cccc(F)c1P(c1c(F)cccc1F)c1c(F)cccc1F
225,CARBONYL,CC1(C)OC[C@H](COCC[C@H]2OC(C)(C)O[C@H]2/C=C/CC[C@H]2OC(C)(C)O[C@H]2C=O)O1
226,CARBONYL,O=Cc1ccc(-c2cc(-c3ccccc3)nc(-c3ccccc3)c2)cc1
227,CARBONYL,O=Cc1ccc(C(=O)OCc2ccccc2)cc1OCc1ccccc1
228,CARBONYL,CC(=O)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C
229,CARBONYL,Cc1cc(C=O)nn1-c1ccc2ccccc2c1
230,CARBONYL,COC(=O)c1ccc(C=O)c([N+](=O)[O-])c1
231,YLIDE,Fc1ccc(F)c(C=P(c2ccccc2)(c2ccccc2)c2ccccc2)c1
232,CARBONYL,C=CCn1c(C=O)cc2c1CC=CC2
233,CARBONYL,COc1ccc([C@@H](C=O)c2ccccc2)c(OC)c1
234,CARBONYL,CC(C)[Si](OC[C@@H]1O[C@@H]2CO[C@@H](c3ccccc3)O[C@H]2CC1=O)(C(C)C)C(C)C
235,CARBONYL,CCOC(OCC)c1ccccc1C=O
236,CARBONYL,COc1ccc(C=O)c(CCC(C)C)c1F
237,YLIDE,CCCCCCc1csc(C=P(c2ccccc2)(c2ccccc2)c2ccccc2)c1
238,CARBONYL,C/C=C/CCCCCCCC=O
239,CARBONYL,CCOc1ccc(-n2cnc3cc(C=O)cnc32)cc1
240,YLIDE,CCOC(=O)/C(C)=C/C=P(c1ccccc1)(c1ccccc1)c1ccccc1
241,CARBONYL,COCC(C)=O
242,CARBONYL,O=Cc1ccc(-n2cnc([N+](=O)[O-])n2)cc1
243,CARBONYL,O=C(O)CCCC(=O)c1ccccc1
244,YLIDE,CC(C=CC1=C(C)CCCC1(C)C)=CC(C)=P(c1ccccc1)(c1ccccc1)c1ccccc1
245,CARBONYL,CO[C@H]1CC[C@H]([C@H]2CC[C@H](CC=O)CC2)CC1
246,CARBONYL,COC(=O)c1ccc(C(=O)c2cc3c(cc2C)C(C)(C)CCC3(C)C)cc1I
247,YLIDE,C[C@H](CC=CCCC=P(c1ccccc1)(c1ccccc1)c1ccccc1)OCOCc1ccccc1
248,YLIDE,O=C(C=P(c1ccccc1)(c1ccccc1)c1ccccc1)NCC1CCOCC1
249,YLIDE,Fc1cccc(C=P(c2ccccc2)(c2ccccc2)c2ccccc2)c1
250,CARBONYL,C=CC[C@H]1CCCC[C@@H](CC(=O)OC(C)(C)C)C1=O
251,CARBONYL,Cc1ccc2c(c1)C(=O)C(=O)N2C(=O)OC(C)(C)C
252,CARBONYL,O=CCCCOC1CCCCO1
253,YLIDE,COC(=O)C1=C(c2ccc([N+](=O)[O-])cc2)OC(=O)C1=P(c1ccccc1)(c1ccccc1)c1ccccc1
254,CARBONYL,O=C1CCCCCCCCCCCCCC1
255,CARBONYL,CC(C)(CC=O)CCOC1CCCCO1
256,CARBONYL,CCCC[C@@H](C=O)[C@@H](c1ccccc1)[C@@H](C)[N+](=O)[O-]
257,YLIDE,Cc1ccncc1C=P(c1ccccc1)(c1ccccc1)c1ccccc1
258,YLIDE,C[Sn](C)(C)CC=P(c1ccccc1)(c1ccccc1)c1ccccc1
259,CARBONYL,O=Cc1ccc(OCc2ccccc2)c(CO)c1
260,CARBONYL,CC1(C)O[C@H]([C@H](O)CO[Si](c2ccccc2)(c2ccccc2)C(C)(C)C)[C@H](C=O)O1
261,CARBONYL,COCOc1cc(C=O)cc(OCOC)c1OCOC
262,CARBONYL,CC(C)(C)OC(=O)C1CC(=O)C1
263,YLIDE,Cc1cc(C)n2nc(C=P(c3ccccc3)(c3ccccc3)c3ccccc3)nc2n1
264,CARBONYL,C[C@H](CC=O)[C@@H]1COC(C)(C)O1
265,YLIDE,Cc1nc2ccc(C=P(c3ccccc3)(c3ccccc3)c3ccccc3)nn2c1C
266,CARBONYL,C/C=C/Oc1ccc([C@H]2CC[C@H]([C@H]3CC[C@H](C=O)CC3)CC2)c(F)c1F
267,CARBONYL,COCCOc1ccc(C=O)c(O)c1
268,CARBONYL,O=CCCc1ccsc1
269,CARBONYL,CC1=C(C)C(O/C=C(\C)C=O)OC1=O
270,CARBONYL,CCCC/C(C)=C/C=C(\C)C(=O)c1c(O)cc(C(C)CCC=O)n(C)c1=O
271,YLIDE,CCOC(=O)C(CCc1ccccc1)=P(c1ccccc1)(c1ccccc1)c1ccccc1
272,CARBONYL,O=CC1CCC(F)(F)CC1
273,CARBONYL,O=C1CCc2c(Br)cccc21
274,CARBONYL,Cc1c(C=O)sc2c1C(C)(C)CCC2(C)C
275,CARBONYL,CC(C)(C)[Si](C)(C)O[C@H]1CC[C@]2(C)[C@@H]3[C@@H](C[C@H](O[Si](C)(C)C(C)(C)C)[C@H]2C1)[C@@H]1CCC(=O)[C@@]1(C)C[C@@H]3O[Si](C)(C)C(C)(C)C
276,CARBONYL,COC(=O)CC(C)(C)CC(=O)c1ccccc1
277,CARBONYL,COc1ccc(Cn2nc(Br)nc2C=O)cc1
278,CARBONYL,CCC[C@H]1O[C@@H]1C=O
279,CARBONYL,COc1ccc(OC)c(C=O)c1
280,YLIDE,CC1=C(C=CC(C)=P(c2ccccc2)(c2ccccc2)c2ccccc2)C(C)(C)CCC1
281,CARBONYL,COc1cc(C)cc(C=O)c1C(=O)O
282,CARBONYL,CC(=O)c1cc(F)ccc1F
283,CARBONYL,COc1ccc(F)cc1C(=O)c1cc(NCCC(F)(F)F)c2ncc(-c3ccc(C(=O)NC4CC4)c(C)c3)n2n1
284,CARBONYL,CC1(C=O)CCN(C(=O)OC(C)(C)C)CC1
285,CARBONYL,CC(C)(C)OC(=O)N1C[C@H](F)C[C@H]1C=O
286,CARBONYL,COc1ccc2c(c1)CCC=C2CC/C=C(\C)CC/C=C(\C)CCC=O
287,CARBONYL,CCCCC/C=C/C=C/C=C/C=C/C=O
288,CARBONYL,CC(C)(C)OC(=O)Nc1ccc(CCC=O)cc1
289,CARBONYL,COc1ccc(Br)cc1C=O
290,YLIDE,CC(O)CC=P(c1ccccc1)(c1ccccc1)c1ccccc1
291,CARBONYL,CC1(C)CC(=O)CC(C)(C)C1
292,CARBONYL,Cc1ccc(S(=O)(=O)N(CCC/C=C/C=O)C(=O)OC(C)(C)C)cc1
293,CARBONYL,O=CCOc1ccc2ccc(=O)oc2c1
294,YLIDE,Cc1ccnc(C=P(c2ccccc2)(c2ccccc2)c2ccccc2)c1
295,YLIDE,C[Si](C)(C)CC=P(c1ccccc1)(c1ccccc1)c1ccccc1
296,CARBONYL,O=C(c1ccccc1O)C1CC1
